checkpoint,build_id,estimate_id,price_basis_id,product,quantity,purchase_unit,unit_price,line_total,currency
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.38x89,53,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,screws.5x80,5,pack,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.38x184,1,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,screws.4x50,4,pack,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,panel.roof,6,sheet,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,panel.plywood,14,sheet,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.89x140,1,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,screws.4x40,24,pack,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.38x89,5,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.38x140,2,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,lumber.38x140,27,board,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,panel.floor,3,sheet,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,screws.4x40,15,pack,,,USD
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,e603634ee9a71015d5239263f3076f4217a034b31ed0608ea23c5815b34aa63b,a64d7d110be337029515a9ac4b4ccb3461cfd362a5e02d51cebd0ede411667a9,screws.6x100,5,pack,,,USD
