checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.rim.front,P-E00EE028,Rim Front,"[3048, 38, 140]","[{'finished_length_mm': 3048, 'kind': 'square_cut'}]",C01,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.rim.back,P-9218101D,Rim Back,"[3048, 38, 140]","[{'finished_length_mm': 3048, 'kind': 'square_cut'}]",C01,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.start.full,P-DC810E50,Joist Start Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_406_4.full,P-30435674,Joist At_406_4 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_812_8.full,P-46F27583,Joist At_812_8 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_1219_2.full,P-F2F096DE,Joist At_1219_2 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_1625_6.full,P-51DBA862,Joist At_1625_6 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_2032.full,P-5C3F8124,Joist At_2032 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_2438_4.full,P-83B49B4A,Joist At_2438_4 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.at_2844_8.full,P-0DBA64CA,Joist At_2844_8 Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.joist.end.full,P-DAB60ECE,Joist End Full,"[38, 2362.4, 140]","[{'finished_length_mm': 2362.4, 'kind': 'square_cut'}]",C02,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.floor.deck.0.0,P-3819441F,Floor sheet 1.1,"[1216.1999999999998, 2438.3999999999996, 19.05]","[{'finished_size_mm': [1216.1999999999998, 2438.3999999999996, 19.05], 'kind': 'panel_cut'}]",C03,panel.floor
