checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.leg.left.front,P-0EFF430C,Leg Left Front,"[38.099999999999994, 88.89999999999999, 895.35]","[{'finished_length_mm': 895.35, 'kind': 'square_cut'}]",C01,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.leg.left.back,P-1E27172D,Leg Left Back,"[38.099999999999994, 88.89999999999999, 895.35]","[{'finished_length_mm': 895.35, 'kind': 'square_cut'}]",C01,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.leg.right.front,P-37BB61BF,Leg Right Front,"[38.099999999999994, 88.89999999999999, 895.35]","[{'finished_length_mm': 895.35, 'kind': 'square_cut'}]",C01,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.leg.right.back,P-1364400C,Leg Right Back,"[38.099999999999994, 88.89999999999999, 895.35]","[{'finished_length_mm': 895.35, 'kind': 'square_cut'}]",C01,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.upper.front,P-5717E05B,Rail Upper Front,"[1752.6, 38.099999999999994, 88.89999999999999]","[{'finished_length_mm': 1752.6, 'kind': 'square_cut'}]",C02,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.upper.back,P-9FBA1027,Rail Upper Back,"[1752.6, 38.099999999999994, 88.89999999999999]","[{'finished_length_mm': 1752.6, 'kind': 'square_cut'}]",C02,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.lower.front,P-6390EEAD,Rail Lower Front,"[1752.6, 38.099999999999994, 88.89999999999999]","[{'finished_length_mm': 1752.6, 'kind': 'square_cut'}]",C02,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.lower.back,P-FAED5534,Rail Lower Back,"[1752.6, 38.099999999999994, 88.89999999999999]","[{'finished_length_mm': 1752.6, 'kind': 'square_cut'}]",C02,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.upper.left,P-8DB7F302,Rail Upper Left,"[38.099999999999994, 431.79999999999995, 88.89999999999999]","[{'finished_length_mm': 431.79999999999995, 'kind': 'square_cut'}]",C03,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.rail.upper.right,P-3B674CD6,Rail Upper Right,"[38.099999999999994, 431.79999999999995, 88.89999999999999]","[{'finished_length_mm': 431.79999999999995, 'kind': 'square_cut'}]",C03,lumber.2x4
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.top,P-8E33428E,Worktop,"[1828.8, 609.5999999999999, 19.049999999999997]","[{'finished_size_mm': [1828.8, 609.5999999999999, 19.049999999999997], 'kind': 'panel_cut'}, {'center_mm': [200, 100], 'diameter_mm': 19.049999999999997, 'kind': 'bore', 'through': True}]",C04,panel.plywood
b02f7a113317ffd18314f85a7842a3c6dfefba17,build_86cd73ff5f624ed28f31318d2bf6b2ff,bench.shelf,P-4AD5CBB8,Shelf,"[1752.6, 571.4999999999999, 19.049999999999997]","[{'finished_size_mm': [1752.6, 571.4999999999999, 19.049999999999997], 'kind': 'panel_cut'}]",C05,panel.plywood
